is_list,major_name,major_description,studycheck_link,university_link,category,subcategory,major_category,university,location,degree_type,degree_label,language,duration_of_study,rating_amount,rating,recommendation_rate
True,Arbeits- und Organisationspsychologie,"
 Berufliche Handlungskompetenz Wahlpflichtbereich - Auswahl gemäß Zugangsvoraussetzungen Wirtschaftswissenschaften / Management für Psychologen Planung und Kontrolle Organisation Personalmanagement Betriebs- und Volkswirtschaftslehre Psychologie für Volks- und Betriebswirte Allgemeine Psychologie Differentielle und Persönlichkeitspsychologie Psychologische Diagnostik Sozialpsychologie   Berufliche Anwendungskompetenzen Personal- und Organisationsentwicklung Personalauswahl und Eignungsdiagnostik 6 Interventionen in der Personal- und Organsiationsentwicklung Arbeitsrecht Systemische Beratung Systemische Beratung Systemisches Coaching Mindfulness und Sustainability Betriebliches Gesundheitsmanagement Arbeitsanalyse und Arbeitsgestaltung Gesundheitsfördernde Interventionen   Praktische Anwendung Berufspraktische Tätigkeit (Vollzeit-Praktikum im Block)   Wissenschaftliche und methodische Kompetenz  Forschungsmethoden Reflexion und Kommunikation wissenschaftlicher Ergebnisse Psychologische Stress-, Team- und Führungsforschung Masterarbeit mit Kolloquium   
",https://www.studycheck.de/studium/arbeits-und-organisationspsychologie/msh-hamburg-19442,https://www.medicalschool-hamburg.de/studiengaenge/fakultaet-humanwissenschaften-universitaet/masterstudiengaenge/arbeits-und-organisationspsychologie/,Medizin & Gesundheitswesen,Psychologie,Arbeits- und Organisationspsychologie,MSH Medical School Hamburg,Hamburg,M.Sc.,Master of Science,Deutsch,4 Semester,3,4.3,1.0
True,Arbeits- und Organisationspsychologie,"
 1. Semester Arbeitsschutz und Arbeitssicherheit Statistik 1 Arbeits- und Organisationspsychologie - Einführung Empirisch-wissenschaftliches Arbeiten 2. Semester Belastung und Beanspruchung Statistik 2 Arbeits- und Organisationspsychologie - Vertiefung Persönlichkeits- und Differenzielle Psychologie 3. Semester Grundlagen der Diagnostik und Diagnoseverfahren Menschengerechte Arbeitsgestaltung Sozialpsychologie Projektmanagement 4. Semester Arbeits- und Ingenieurspsychologie Einführung in die Betriebswirtschaftslehre Kommunikation und Wissensmanagement 5. Semester Einführung in Arbeitsrecht Praktikum Ergonomie, Mensch-Maschine-Systeme 6. Semester Personal- und Organisationsentwicklung Personalpsychologie Bachelorthesis 
",https://www.studycheck.de/studium/arbeits-und-organisationspsychologie/fh-hamm-22927,https://www.srh-hochschule-nrw.de/bachelor/arbeits-und-organisationspsychologie-ba/,Medizin & Gesundheitswesen,Psychologie,Arbeits- und Organisationspsychologie,SRH Hochschule in Nordrhein-Westfalen,2 Standorte,B.A.,Bachelor of Arts,Deutsch,6 Semester,2,4.4,1.0
True,Arbeits- und Organisationspsychologie,NA,https://www.studycheck.de/studium/arbeits-und-organisationspsychologie/msb-23963,https://www.medicalschool-berlin.de/studiengaenge/fakultaet-naturwissenschaften-universitaet/masterstudiengaenge/arbeits-und-organisationspsychologie/,Medizin & Gesundheitswesen,Psychologie,Arbeits- und Organisationspsychologie,MSB Medical School Berlin,Berlin,M.Sc.,Master of Science,Deutsch,4 Semester,2,4.4,1.0
True,Business Administration | Human Resource Management & Leadership,"
 1. Semester Foundations of Management International Business Foundations of Marketing Introduction to Digital Business Research Methods Facing Challenges 2. Semester Financial Accounting Introduction to Economics People and Organizations Measuring and Managing Operations and Services Management Methods General Vocational Preparation 3. Semester Finance and Investment Introduction to Law Strategic Management Human Resource Management Managerial Economics Communication and Negotiation 4. Semester Innovation and Change Management Economic Policy & International Economics Platform Business: Research Organizational Leadership Business Ethics and Sustainability Talent and Career Management 5. Semester Practical Study Semester Contemporary Issues in Business Digital Development and Society Products, Markets and People 6. Semester Thesis Strategic HRM and HR Analytics Business Simulation Entrepreneurship 
",https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/berlin-international-23695,https://www.berlin-international.de/en/programs/business-administration-humanresource-management-and-leadership/,Medizin & Gesundheitswesen,Psychologie,Arbeits- und Organisationspsychologie,Berlin International,Berlin,B.A.,Bachelor of Arts,Englisch,6 Semester,3,3.8,1.0
True,Physician Assistance,"
 Medizinische und naturwissenschaftliche Grundlagen, klinische Vertiefung Grundlagen der Biologie, Chemie, Biochemie Anatomie Physiologie und Pathophysiologie Medizinische Terminologie Anamneseerhebung und Untersuchungsverfahren Medizinische und pharmakologische Grundlagen & Toxikologie Medizintechnische Grundlagen Medizinische Psychologie und Soziologie Allgemeine und spezielle Krankheitslehre in operativen und konservativen Fächern Arbeits- und Sozialmedizin Prävention und Rehabilitation Vertiefende Themengebiete und Soft Skills Grundlagen wissenschaftlichen Arbeitens Medizinische Statistik Krisen- und Selbstmanagement Patientenaufklärung, Gesprächsführung und „social skills“ Berufsrolle und Interdisziplinarität in der juristischen und gesundheitspolitischen Perspektive Rechtliche Grundlagen, Berufsethik und Gesundheitspolitik Informationsmanagement und medizinische Dokumentation Praxismanagement Notfallmanagement und Rettungswesen Qualitätsmanagement und Qualitätssicherung im Gesundheitssystem 
",https://www.studycheck.de/studium/arztassistent/cr-med-school-19328,https://www.carl-remigius.de/studium/physician-assistant-bachelor/?crmid=bBcZabOcCdBaBcp,Medizin & Gesundheitswesen,Medizin,Arztassistent,Carl Remigius Medical School,2 Standorte,B.Sc.,Bachelor of Science,Deutsch,8 Semester,18,3.2,0.72
True,Physician Assistance für Gesundheitsberufe,"
 Der berufsbegleitende Studiengang Physician Assistance für Gesundheitsberufe in Frankfurt am Main wird Ihnen Know-how und Fähigkeiten aus unterschiedlichen Bereichen vermitteln: Wir vermitteln Ihnen naturwissenschaftliche und medizinische Grundlagen, bieten Ihnen klinische Vertiefungen. Dazu kommen Schwerpunktfächer sowie Soft Skills, Dokumentation oder Projektmanagement. Zentrale Fächer sind Anatomie, Pathophysiologie, Untersuchungsverfahren sowie fach- und fallspezifisches Handeln in der operativen und konservativen Medizin. 5. und 6. Semester: Naturwissenschaftliche Grundlagen und wissenschaftliches Arbeiten Anatomie und Pathologie Anamneseerhebung und körperliche Untersuchung Physiologie und Pathophysiologie Allgemeine und spezielle Krankheitslehre in der konservativen Medizin Hygiene und Mikrobiologie 7. und 8. Semester: Allgemeine und spezielle Krankheitslehre in der konservativen Medizin Klinische Medizin OP-Lehre/ Funktionsdiagnostik Notfall- und Intensivmedizin, Anästhesie Pharmakologie und Toxikologie 9. und 10. Semester: Kommunikation & Social Skills Rechtliche und ethische Aspekte der Berufsausübung (min. 50% Anwesenheitspflicht) Medizinische Dokumentation, Qualitäts-, Informations- und Projektmanagement Public Health Medizintechnik und Medizinprodukte Bachelorprüfung 
",https://www.studycheck.de/studium/arztassistent/cr-med-school-23239,https://www.carl-remigius.de/studium/physician-assistant-berufsbegleitend/?crmid=bBcZabOcCdCaBco,Medizin & Gesundheitswesen,Medizin,Arztassistent,Carl Remigius Medical School,3 Standorte,B.Sc.,Bachelor of Science,Deutsch,6 Semester,8,3.1,0.63
True,Augenoptik / Optische Gerätetechnik,"
 1. bis 4. Semester augenoptische und ingenieurwissenschaftliche Grundlagen: Module im Bereich Technische Optik Physik Elektrotechnik Optische Gerätetechnik Anatomie und Physiologie Pathologie Refraktion und Kontaktlinsenanpassung (siehe Regelstudienplan) 5. Semester 12wöchige Praxisphase Feinoptik und Start der fachspezifischen Vertiefung mittels Wahlpflichtfächern 6. und 7. Semester hauptsächlich fachspezifische Vertiefung mittels Wahlpflichtfächern im 7. Semester zusätzlich Bachelorarbeit 
",https://www.studycheck.de/studium/augenoptik/th-brandenburg-19738,https://technik.th-brandenburg.de/studium/bachelorstudiengaenge/augenoptik-optische-geraetetechnik/?S=926&utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Studiengang&utm_term=Augenoptik+%2F+Optische+Ger%C3%A4tetechnik-B.Eng.-19738,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Augenoptik,TH Brandenburg,Brandenburg an der Havel,B.Eng.,Bachelor of Engineering,Deutsch,7 - 13 Semester,1,4.3,1.0
False,Augenoptik / Optometrie,"
 Grundlagen:  in Physik, Mathematik, Augenoptik, Informatik, Optik, Biostatistik, Wahrnehmungspsychologie sowie physiologische und chemische Grundlagen Kontaktlinse:  In Laufe des Studiums wird das Wissen zum Anpassen von weichen und harten sowie später für speziellen Kontaktlinsen vermittelt und praktisch angewandt. Refraktion:  Am Anfang des Studiums werden die Kenntnisse der objektiven Refraktion gelehrt und praktisch angewandt. Im Laufe des Studiums wird dann die subjektive Refraktion gelehrt.  Optometrie:  Die Optometrie ist die Lehre der Messungen und Bewertungen von Sehfunktionen. Die Optometrie stellt dabei eine Ergänzung zur „monokularen“ Augenoptik dar, da sie sich mit „ binokularen“ Störungen auseinandersetzt. Low Vision:  Die Low Vision beschäftigt sich mit der Hilfe von Menschen welche starke Einschränkung der visuellen Wahrnehmungsfähigkeit vorweisen. Dabei werden die Ursachen dieser Einschränkung gelehrt sowie die Bestimmung der Hilfsmittel.  Betriebswirtschaft:  Dabei werden die branchenspezifischen Grundlagen der Betriebswirtschaftslehre, angefangen vom Businessplan zur Existenzgründung über Kalkulation und Organisation bis hin zum Beraten und Verkaufen von Brillen und Kontaktlinsen gelehrt aber auch Themen wie Produktmanagement und Marketing werden in diesem Modul behandelt. Optik und Technik der Brille:  Dieses Modul beschäftigt sich mit der Berechnung und Herstellung von Brillengläsern und Fassungen.  Berufs- und Arbeitspädagogik sowie Sicherheitstechnik:  Dieses Modul beschäftigt sich mit den Voraussetzungen die eine optimale Berufsausbildung in der Augenoptik gewähren um später Gesellen/innen der Augenoptik ausbilden zu können. Es umfasst den Teil 3 und 4 der Meisterprüfung. Augenkrankheiten:  Dieses Modul vermittelt das Wissen um Augenerkrankungen erkennen zu können. Werkstatt:  In unserer augenoptischen Werkstatt wird das Einschleifen von Brillengläsern und das Anpassen von Fassungen gelehrt, um dem Kunden die bestmögliche individuelle Versorgung seiner Fehlsichtigkeiten zu gewährleisten. Im 6. Semester  können zu dem  Wahlfächer  gewählt werden um bestimmte augenoptische Fachgebiete zu intensivieren oder das eigene Wissen in neuen Gebieten zu erweitern. Kommunikationstraining sowie Beraten und Verkaufen:  Diese Module vermitteln aktuelle Kommunikationsmethoden und fördern die Kommunikationsskills um den optimalen Umgang mit Kunden oder Patienten zu gewähren.  
",https://www.studycheck.de/studium/augenoptik/htw-aalen-19399,https://www.hs-aalen.de/de/courses/71-augenoptik-optometrie,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Augenoptik,Hochschule Aalen,Aalen,B.Sc.,Bachelor of Science,Deutsch,7 Semester,27,4.2,0.96
True,Augenoptik/Optometrie,"
 1. Semester Anatomie und Physiologie des Auges Grundlagen Augenoptik* Grundlagen Messtechnik Mathematik I Physikalisch-Chemische Werkstoffeigenschaften *Anerkennung des Moduls mit Berufsausbildung 2. Semester Optometrie I (Refraktionsbestimmung) Physiologische Optik Pathologie Geometrische Optik Physik Optik und Technik der Sehhilfen 3. Semester Optometrie II (Binokularprüfung) Kontaktlinse I (Untersuchungstechniken Vorderer Augenabschnitt) Pharmakologie BWL für Augenoptik/ Optometrie Physikalische Optik Licht- und Sehhilfentechnik 4. Semester Optometrie III (Optometrische Untersuchungsmethoden) Kontaktlinse II (Kontaktlinsenanpasstechnik und Versorgung) Optometrische Kasuistik I Statistik Wahlpflichtmodule Low Vision Wahlpflichtmodul 5. Semester Optometrie IV (Erweiterte Optometrische Untersuchungsmethoden) Kontaktlinse III (Spezialkontaktlinsenversorgungen und Befunde) Wissenschaftliches Arbeiten Grundlagen Optik-Technologien Grundlagen Lasertechnik Marketing und Unternehmensführung English for Optometrists 6. Semester Angewandte Klinische Optometrie (Praxisphase) Optometrische Kasuistik II Bachelorarbeit Kolloquium 
",https://www.studycheck.de/studium/augenoptik/fh-jena-3343,https://www.eah-jena.de/studienangebot/studienangebot/bachelor-augenoptik-optometrie,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Augenoptik,Ernst-Abbe-Hochschule Jena,Jena,B.Sc.,Bachelor of Science,Deutsch,6 Semester,32,3.7,0.88
True,Medical and Health Education,"
 Fachkompetenz/ Lehrmethodik Dimensionen der Lehrprofessionalität Didaktik der Gesundheitsberufe Systematische Planung von Lehrveranstaltungen und Kompetenzorientierte Prüfungen Interdisziplinarität und Interprofessionalität in der Medizin- und Gesundheitsberufeausbildung Digitalisierung in der Hochschullehre Fachkompetenz/ Spezielle Anwendungen Curriculumentwicklung Bildungsprozessmanagement und Qualitätsentwicklung   Praxisstudien Lehrprojekt / Ausbildungsforschung   Wissenschaftliche Kompetenzen Masterarbeit mit Kolloquium   
",https://www.studycheck.de/studium/berufspaedagogik-im-gesundheitswesen/msh-hamburg-18977,http://www.medicalschool-hamburg.de/studium-bewerbung/fakultaet-humanwissenschaften/masterstudiengaenge/medical-and-health-education/,Medizin & Gesundheitswesen,Gesundheitswissenschaften,Berufspädagogik im Gesundheitswesen,MSH Medical School Hamburg,Hamburg,M.A.,Master of Arts,Deutsch,4 Semester,0,NA,NA
